page,index,会社名,勤務地,給与
2.0,34.0,株式会社セラク | 【大阪府緊急雇用対策に賛同】――★創業34年の東証一部上場企業,＜首都圏積極採用中＞ 東京・横浜・大阪・札幌・名古屋・福岡の本社または各支社・支店 及び近郊のプロ…,東京/千葉/埼玉:月給22万~40万円 横浜/名古屋/大阪:月給21万~40万円 上記以外:月給20万~40万円 ※社会人…
2.0,35.0,株式会社オンテックス | 最大100万円の入社祝い金あり／完全週休2日制＋年間休日120日,≪全国各60支店≫ ★U・Iターン歓迎！転居を伴う転勤なし ★社員寮斡旋。あなたのご希望に応じて配…,月給30万〜40万円+インセンティブ ※年齢や経験を考慮し決定します。 ※上記は固定残業代(7万円〜／20時…
2.0,36.0,大栄環境株式会社 | 創業40年以上｜日本のSDGs実現を支える環境ビジネスのパイオニア,三木リサイクルセンター／兵庫県三木市口吉川町吉祥寺字谷132番地の8 ※マイカー通勤可能です,月給：21万8200円以上 ＋ 諸手当 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮の上、優遇い…
2.0,37.0,株式会社フュービック | 業界トップクラスのストレッチ専門店【Dr.stretch】運営元企業,"【転居を伴う転勤なし(本人希望を除く),配属先は希望を考慮】東京,神奈川,埼玉,大阪,京都,兵庫,…","関東 月給226,300〜450,000円 ＋ インセンティブ（月最大6万円） 関西・東海 月給221,000円〜450,000円 …"
2.0,38.0,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,◎会社都合による転勤はなし◎ ★希望エリアで働けます ★全47都道府県に店舗あり 全国直営各店舗(…,【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…
2.0,39.0,株式会社夢テクノロジー | スキルを身に付けられる充実研修あり／大阪府緊急雇用対策に賛同,全国いずれかのプロジェクト先 ※希望エリアを考慮 【在宅勤務実施中です】※配属先によって異なります…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回 【研修期間中(1〜3ヶ月)も…
2.0,40.0,日研トータルソーシング株式会社 | ★充実の研修！新規技術研修センター開校＆資格支援制度あり★,★勤務地は希望を考慮！ 全国47都道府県にある拠点のプロジェクト先 ※面接は各拠点にて行います ＜…,【関東】月給27万5290円〜 固定残業代5万2290円（30h分）含む ※超過分別途支給 【関東以外】月給25万58…
2.0,41.0,パーソルテンプスタッフ株式会社 | 大阪府緊急雇用対策に賛同/賞与年2回★研修充実★在宅ワークあり,東京都、神奈川県、大阪府、京都府、兵庫県、愛知県の大手・優良企業 ★転居を伴う転勤はありません ★…,【東京】月給20万9700円以上＋賞与年2回 【神奈川】月給20万円以上＋賞与年2回 【大阪】月給19万7400円以…
2.0,42.0,DSP株式会社 | 年休120日以上★大阪府緊急雇用対策に賛同★産休育休取得実績有,【WEB面接OK/希望勤務地考慮/転勤なし】 東京都港区の本社または全国の各拠点 ◎UIターン歓迎…,月給22万円〜51万円＋インセンティブ ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 …
2.0,43.0,株式会社エンパワー | ◆買取専門店「大吉」◆ 4年連続「ベストベンチャー100」選出！,全国各地で募集！今後も拡大予定！ （北海道、関東、関西、東北、中部、中国、四国、九州、沖縄エリア）…,月給25万円以上＋インセンティブ（月平均10万円以上） ※上記にはみなし残業代（45時間分・6万円以上）を…
2.0,44.0,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,【WEB面接OK/希望勤務地考慮/転勤なし】 東京都港区の本社または全国の各拠点 ◎UIターン歓迎…,月給22万円〜51万円＋インセンティブ ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 …
2.0,45.0,日本住宅流通株式会社 | 「東証一部上場・大和ハウス」が100％出資★賞与7.6か月(昨年度),★買取再生事業部 【関東】 東京都 ★不動産流通事業部（売買仲介） ※U・Iターン歓迎 ※勤務地に…,"月給21万4,400円以上 ＋諸手当 ＋賞与年2回 ※年齢や経験、能力などを考慮し、決定します。 ※試用期間6…"
2.0,46.0,株式会社ビッグモーター | 業界No.1◆インセンあり／年収800万円以上可能／残業少なめ,《転勤なし！マイカー通勤OK！》 ★勤務地は希望を最大限考慮、下記エリアの整備工場併設店舗のいずれ…,月給22万9900円〜60万円＋インセン（月平均10〜20万円）＋諸手当（資格手当など）＋賞与年2回 ※スキル…
2.0,47.0,フォーザウィン株式会社 | 即戦力を育てる本気の教育体制/残業ほぼなし/年休125日/面接1回,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,月給22万円〜28万円 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期間3〜6ヶ月あり（期間中…
2.0,48.0,株式会社プロバイドジャパン | <理想の働き方を実現>★大阪府緊急雇用対策に賛同★完全週休2日,＼全国で募集＆希望外の転勤なし／ ↓下記はほんの一例！全国各地に多数あるのでお問い合わせください！…,【東京・神奈川・千葉・埼玉】 月給19万〜24万円＋各種手当＋インセン 【その他エリア】 月給18万〜22万…
2.0,49.0,DSP株式会社 | 《残業ほぼなし／年休120日以上／産前産後・育児休暇あり》,転勤なし（勤務地は希望考慮） U・Iターン歓迎 【東京/神奈川/埼玉/千葉/大阪/兵庫/京都/福岡…,月給／22万円〜45万円 ＋ 賞与年2回 ★経験・能力等を考慮し加給。 ※上記金額に固定残業38時間分(4万9…
2.0,50.0,フォーザウィン株式会社 | 未経験からじっくり知識やスキルを身に付け成長★完全週休2日,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,■経験者 ：月給23万円〜 ■未経験：月給20万円〜23万円 【経験者は前給以上を必ず保証します】 ※経験…
4.0,1.0,株式会社グリーンクロス | 工事現場でおなじみのカラーコーンやバリケードなどを扱う商社,＜転勤なし＞希望勤務地への配属を、100％確約いたします！ 【関東エリア】 東京都杉並区 東京都中…,"月給／195,500円〜317,500円 ※上記金額に固定残業代（33時間分・5万円〜）を含みます。超過分は別途支…"
3.0,1.0,フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回即採用！,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,月給30万円〜 【前給以上を必ず保証します】 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期…
3.0,2.0,株式会社ビッグモーター | 業界No.1◆月給23万9800円～☆残業ほぼなし☆面接1回,☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆マイカー通勤OK♪ ■北海道 ■宮城県 ■関東（東京都…,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …
3.0,3.0,DSP株式会社 | 初年度年収450万円以上可/産休育休有/大阪府緊急雇用対策に賛同,★転勤なし/希望勤務地考慮/UIターン歓迎 <本社又は各拠点、プロジェクト先> ■東京都 大田区/…,月給22万円〜51万円 ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 ▼福岡県勤務の…
3.0,4.0,フォーザウィン株式会社 | 即戦力を育てる本気の教育体制/残業ほぼなし/年休125日/面接1回,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,月給22万円〜28万円 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期間3〜6ヶ月あり（期間中…
3.0,5.0,フォーザウィン株式会社 | 経験ゼロでも志望動機がなくても、しっかり育てる会社です！,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,月給20万円〜23万円 ※上記の金額の間で前職給与を考慮。 ※経験・能力等を考慮の上、当社規定により最…
3.0,6.0,"フォーザウィン株式会社 | ★完休2日★有休取得100％★福利厚生提携先16,000件超",【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,■経験者 ：月給25万円〜 ■未経験：月給20万円〜23万円 【経験者は前給以上を必ず保証します】 ※経験…
3.0,7.0,フォーザウィン株式会社 | ”未経験者の事務職デビュー”を応援/残業ほぼ無し＆完全週休2日,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,■経験者 ：月給23万円〜 ■未経験：月給20万円〜23万円 【経験者は前給以上を必ず保証します】 ※経験…
3.0,8.0,フォーザウィン株式会社 | 未経験からのチャレンジ大歓迎♪/完全週休2日制＆残業ほぼ無し,【転勤なし】東京本社・渋谷支店・大阪支店・名古屋支店・福岡支店・北海道支店・群馬支店 または各プロ…,■未経験：月給20万円〜23万円 ■IT系のヘルプデスク経験者：月給23万円〜35万円 ※経験・能力等を考慮…
3.0,9.0,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆マイカー通勤OK♪ ■北海道 ■宮城県 ■関東（東京都…,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …
3.0,10.0,"株式会社京都スペーサー | 完全週休2日制／賞与年3,7カ月分／業界トップクラスの成長企業",【宮城・埼玉・東京・大阪・兵庫・香川いずれかの営業所】 ※勤務地は希望を考慮します。 ＜仙台営業所…,"月給19万5,000円〜25万5,000万円+賞与年2回(3.7カ月分) ※経験・能力を考慮の上、決定いたします 【月…"
3.0,11.0,株式会社修優舘 | テレビCM放映中！完全週休2日制(土日祝)/ゆったり午後出勤実働6h,★転勤なし ★Ｕ・Ｉターン歓迎！ 【新本社】 大阪府大阪市福島区野田3-2-19 ★JR野田駅スグ…,月給26万5000円以上（一律支給の手当含む）+インセンティブ+賞与年2回 ※昇給年1回 ※年齢・経験・スキ…
3.0,12.0,エルスイッチ株式会社 | 業績◎過去最高水準の入居率｜カナモリコーポレーショングループ,【転居を伴う転勤なし】 駅近オフィス★兵庫支社（神戸駅エリア)、大阪本店（新大阪駅エリア）のいずれ…,【経験者】月給：28万円以上＋インセンティブ 【未経験者】月給：23万円以上＋インセンティブ ※宅地建物…
3.0,13.0,株式会社ギヤテック | 神戸製鋼、川重、三菱電機、コマツなど大手メーカーのパートナー,《転勤なし！U・I・Jターン歓迎♪》 兵庫県姫路市白浜町宇佐崎中3丁目2-1 ◆山陽電鉄「白浜の宮…,"【経験者】月給／23万円〜33万円 【未経験者】月給／21万5,000円以上 ※諸手当＋賞与2回支給 ※一律手当…"
3.0,14.0,パーソルテンプスタッフ株式会社 | 研究開発事業本部(chall-edge)◆産休育休からの復職率95％◆,◆転勤ほぼなし！関東・中部・関西・四国・九州エリア ※パーソルテンプスタッフ株式会社へ入社後、クラ…,【首都圏・近畿エリア】月給23万円以上（年収309万円以上） 【北関東・中部エリア】月給22万円以上（年収…
3.0,15.0,パーソルエクセルHRパートナーズ株式会社 | 年休120日以上｜土日祝休み｜年収400万円以上可｜社員雇用前提,《勤務地はご希望に合わせて決定》 ★— 積極採用エリア —★ 札幌市・仙台市・ 東京23区・横浜市…,"◇関東／時給1,400〜1,800円 　⇒ 派遣期間の月収例：28万8,000円 ◇関西／時給1,200〜1,700円 　⇒ 派…"
3.0,16.0,株式会社 ＨＡＬ | ★WEB面談応相談 ★全国応募OK ★リモートワーク可能,《リモートワーク可／会社都合による転勤は一切なし！》 ☆本人のご希望・居住地を考慮し、案件をご案内…,≪関東・関西・東海エリア≫ 月給35万円〜(開発経験5年以上) 月給30万円〜(3年以上) 月給27万円〜(3年未…
3.0,17.0,大東建託パートナーズ株式会社 | ★健康経営優良法人2021ホワイト500★残業少なめ,◇希望を考慮し、全国の拠点に配属いたします◇ ※勤務地限定制度あり（転居を伴う転勤なし）。 岩手県…,基本給 月給20万円以上＋業績加算給＋諸手当（勤続、家族、残業手当など） ★勤務地限定の場合：基本給 …
3.0,18.0,株式会社クリエート | 全国で積極採用/公共事業を発注する立場で活躍する建設コンサル,【本社】 神奈川県横浜市緑区十日市場町819-5 ◎入社後は本社に配属。1年〜3年で基本業務を習得…,年俸300万円〜800万円 ※12分割して1／12を毎月支給します。 ※資格手当、家族手当などの各種手当を加算…
3.0,19.0,株式会社エコリング | 【大阪府緊急雇用対策に賛同】「ホワイト企業アワード2021」受賞,【九州(福岡市)・広島(広島市)・神奈川積極募集！】 ◎希望を配慮して全国の店舗(東京都、神奈川県…,"月給：25万1,500円以上＋諸手当 ※経験を考慮の上、優遇いたします ※別途時間外手当支給 ※試用期間2ヶ…"
3.0,20.0,株式会社エコリング | 大阪府緊急雇用対策に賛同｜「ホワイト企業アワード2021」受賞,【遠方からのUIターン歓迎！】 姫路本社／兵庫県姫路市飾磨区恵美酒213 ※マイカー通勤可(駐車場…,"月給：25万1,500円以上＋諸手当 ※経験を考慮の上、優遇いたします ※別途時間外手当支給 ※試用期間2ヶ…"
3.0,21.0,株式会社トライアルカンパニー | ◆残業月平均13.25h以下　◆希望のキャリアパス、働き方が選べる,配属は所在地の都道府県 ※初任地は最寄りの店舗又は希望エリアを優先し配属します ※エリア内勤務また…,月給20万3千円〜65万円 ※能力、年齢などを考慮の上、決定いたします。 ※試用期間2ヶ月（賃金同一）。 …
3.0,22.0,株式会社ＪＷソリューション | 東証一部上場を親子会に持つ安定企業｜残業月10H以下★完週休2日,★転勤なし ★I・Uターン歓迎！ 各地域の百貨店やポップアップショップ、家電量販店、キャリアショッ…,【関東】 月給22万円以上＋賞与年2回＋インセンティブ ※上記は、固定残業代（月15時間分／2万2000円以上…
3.0,23.0,ヤマダストアー株式会社 | 《黒字経営＆業績右肩上がり》圧倒的な地域信頼度の高さを誇る,《姫路市、明石市、加古川市、高砂市の各店舗に配属します》 ★神戸市に初出店！2021年11月オープ…,"◆ 月給19万4,000円〜 + 各種手当 【月収例】 月収24万5,700円（25歳／大卒／交通費含む） ※年齢・経…"
3.0,24.0,株式会社グッドワークコミュニケーションズ | 多角的な事業展開で急成長！★☆20～30代大活躍中！☆★,☆全国での勤務 ☆転勤なし ◎上京サポートも充実♪Web面接や上京支援制度（引越手当）など ▼関東…,"◆関東・東北エリア 月給251,000円（固定残業代17,000円10時間分を含） 〜月給300,000円（固定残業代20,5…"
3.0,25.0,株式会社グッドワークコミュニケーションズ | 全国の拠点で募集／上京支援あり（最大10万円）,★転勤なし ◎上京サポートも充実♪Web面接や上京支援制度（10万円）など ▼関東・関西エリアは積…,関東エリア 月給25.1万円〜 （固定残業代1.7万円〜10時間分を含む） 関西・中部エリア 月給24万円〜 （…
